@relation complex8_clustered

@attribute Instance_number numeric
@attribute x numeric
@attribute y numeric
@attribute class {0,1,2,3,4,5,6,7}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
193,78.502,237.794,2,cluster4
194,79.202,287.122,2,cluster4
195,79.272,242.156,2,cluster4
196,79.722,264.361,2,cluster4
197,80.199,298.082,2,cluster4
198,81.069,261.888,2,cluster4
199,81.534,276.974,2,cluster4
200,81.913,237.585,2,cluster4
201,83.034,247.402,2,cluster4
202,83.679,240.902,2,cluster4
203,83.855,297.607,2,cluster4
204,84.888,253.396,2,cluster4
205,85.499,236.795,2,cluster4
206,86.941,232.489,2,cluster4
207,87.406,299.783,2,cluster4
208,88.392,237.048,2,cluster4
209,88.701,250.651,2,cluster4
210,88.982,299.489,2,cluster4
211,89.319,226.7,2,cluster4
212,90.41,257.448,2,cluster4
213,90.58,231.072,2,cluster4
214,91.23,262.604,2,cluster4
215,92.209,222.15,2,cluster4
216,92.786,227.418,2,cluster4
217,93.554,293.737,2,cluster4
218,93.768,293.591,2,cluster4
219,94.697,258.708,2,cluster4
220,95.536,237.686,2,cluster4
221,96.182,228.088,2,cluster4
222,96.715,223.257,2,cluster4
223,97.527,273.821,2,cluster4
224,97.685,278.438,2,cluster4
225,98.38,284.748,2,cluster4
226,99.108,296.813,2,cluster4
227,99.767,224.9,2,cluster4
228,100.165,222.073,2,cluster4
229,100.778,278.911,2,cluster4
230,101.931,266.622,2,cluster4
231,102.84,240.178,2,cluster4
232,103.131,239.699,2,cluster4
233,103.347,251.559,2,cluster4
234,103.919,268.385,2,cluster4
235,104.593,279.342,2,cluster4
236,104.851,266.407,2,cluster4
237,105.187,268.4,2,cluster4
238,105.396,267.244,2,cluster4
239,105.877,248.509,2,cluster4
240,106.187,280.048,2,cluster4
241,106.267,221.253,2,cluster4
242,106.699,250.833,2,cluster4
243,107.251,233.71,2,cluster4
244,107.427,264.254,2,cluster4
245,107.743,239.853,2,cluster4
246,108.98,262.284,2,cluster4
247,109.713,272.873,2,cluster4
248,109.967,298.248,2,cluster4
249,110.534,224.346,2,cluster4
250,110.823,229.572,2,cluster4
251,111.309,226.288,2,cluster4
252,111.731,278.228,2,cluster4
253,113.107,268.624,2,cluster4
254,113.726,289.755,2,cluster4
255,113.971,233.849,2,cluster4
256,114.502,226.788,2,cluster4
257,114.867,299.812,2,cluster4
258,115.386,274.375,2,cluster4
259,116.25,285.816,2,cluster4
260,116.901,239.932,2,cluster4
261,117.588,279.468,2,cluster4
262,117.808,296.526,2,cluster4
263,117.991,296.388,2,cluster4
264,118.793,226.169,2,cluster4
265,119.412,292.521,2,cluster4
266,119.916,279.182,2,cluster4
267,120.435,281.88,2,cluster4
268,121.329,271.627,2,cluster4
269,122.254,274.67,2,cluster4
270,122.962,272.851,2,cluster4
271,123.476,263.763,2,cluster4
272,123.817,290.177,2,cluster4
273,124.895,225.312,2,cluster4
274,125.876,237.528,2,cluster4
275,126.299,248.847,2,cluster4
276,127.881,277.424,2,cluster4
277,128.782,258.494,2,cluster4
278,129.474,259.443,2,cluster4
279,129.986,263.765,2,cluster4
280,130.248,254.418,2,cluster4
281,130.953,288.629,2,cluster4
282,132.874,236.928,2,cluster4
283,133.637,287.142,2,cluster4
284,134.173,262.139,2,cluster4
285,135.02,242.398,2,cluster4
286,135.631,288.789,2,cluster4
287,136.99,279.42,2,cluster4
288,137.468,248.605,2,cluster4
289,138.208,250.879,2,cluster4
290,139.394,251.962,2,cluster4
291,140.295,288.066,2,cluster4
292,140.989,255.222,2,cluster4
293,141.315,270.173,2,cluster4
294,141.852,235.406,2,cluster4
295,142.609,245.018,2,cluster4
296,143.009,238.399,2,cluster4
297,143.719,276.511,2,cluster4
298,144.26,231.112,2,cluster4
299,145.175,256.033,2,cluster4
300,145.439,275.743,2,cluster4
301,145.89,252.356,2,cluster4
302,146.859,269.907,2,cluster4
303,147.058,258.492,2,cluster4
304,147.155,235.835,2,cluster4
305,147.203,236.173,2,cluster4
306,148.38,258.14,2,cluster4
307,149.106,257.056,2,cluster4
308,149.431,255.84,2,cluster4
309,150.654,287.67,2,cluster4
310,151.7,255.743,2,cluster4
311,152.675,261.621,2,cluster4
312,153.978,271.106,2,cluster4
313,155.048,286.331,2,cluster4
314,156.319,265.01,2,cluster4
315,157.05,285.03,2,cluster4
316,158.213,278.882,2,cluster4
317,158.962,243.196,2,cluster4
318,161.138,237.596,2,cluster4
319,161.646,243.994,2,cluster4
320,163.331,280.859,2,cluster4
321,164.213,281.869,2,cluster4
322,164.773,282.94,2,cluster4
323,165.059,242.019,2,cluster4
324,165.281,280.402,2,cluster4
325,166.042,248.031,2,cluster4
326,167.623,242.272,2,cluster4
327,168.128,276.198,2,cluster4
328,168.464,268.973,2,cluster4
329,169.483,267.895,2,cluster4
330,170.249,249.485,2,cluster4
331,170.979,273.265,2,cluster4
332,171.513,253.62,2,cluster4
333,171.783,269.142,2,cluster4
334,172.844,257.272,2,cluster4
335,173.952,265.78,2,cluster4
336,174.138,270.815,2,cluster4
337,175.856,272.269,2,cluster4
338,177.18,255.497,2,cluster4
339,177.257,264.482,2,cluster4
340,178.95,243.888,2,cluster4
341,181.542,281.885,2,cluster4
342,182.722,251.107,2,cluster4
343,183.453,267.579,2,cluster4
344,184.185,246.987,2,cluster4
345,185.341,270.505,2,cluster4
346,186.511,242.978,2,cluster4
347,188.91,241.019,2,cluster4
348,191.666,243.181,2,cluster4
349,192.627,275.928,2,cluster4
350,194.441,269.436,2,cluster4
351,195.761,262.548,2,cluster4
352,196.945,247.552,2,cluster4
353,197.076,274.643,2,cluster4
354,198.511,272.877,2,cluster4
355,200.067,270.562,2,cluster4
356,200.776,269.116,2,cluster4
357,202.842,259.868,2,cluster4
358,203.896,244.526,2,cluster4
359,204.787,250.219,2,cluster4
360,205.469,248.346,2,cluster4
361,208.056,258.037,2,cluster4
362,208.684,259.333,2,cluster4
363,210.158,265.929,2,cluster4
364,210.741,245.633,2,cluster4
365,213.053,239.042,2,cluster4
366,213.685,254.623,2,cluster4
367,214.879,253.977,2,cluster4
368,216.027,264.996,2,cluster4
369,217.35,266.199,2,cluster4
370,218.58,255.904,2,cluster4
371,218.852,243.589,2,cluster4
372,219.705,242.826,2,cluster4
373,221.495,236.117,2,cluster4
374,223.711,242.644,2,cluster4
375,224.354,259.331,2,cluster4
376,225.566,248.478,2,cluster4
377,229.354,237.398,2,cluster4
378,233.129,236.923,2,cluster4
379,233.311,258.28,2,cluster4
380,234.903,256.115,2,cluster4
381,236.158,240.551,2,cluster4
382,237.976,253.329,2,cluster4
383,239.34,251.177,2,cluster4
384,240.348,244.397,2,cluster4
385,243.132,254.789,2,cluster4
386,243.505,248.39,2,cluster4
387,244.731,247.555,2,cluster4
388,245.48,255.893,2,cluster4
389,247.504,258.892,2,cluster4
390,249.927,234.034,2,cluster4
391,251.727,260.918,2,cluster4
392,252.992,248.801,2,cluster4
393,254.104,251.732,2,cluster4
394,255.41,243.183,2,cluster4
395,258.885,236.008,2,cluster4
396,260.153,258.965,2,cluster4
397,261.686,253.904,2,cluster4
398,264.961,245.82,2,cluster4
399,267.765,254.765,2,cluster4
400,271.931,253.244,2,cluster4
401,272.186,246.484,2,cluster4
402,273.159,248.205,2,cluster4
403,274.679,256.092,2,cluster4
404,276.12,238.06,2,cluster4
405,277.313,240.625,2,cluster4
406,278.117,262.051,2,cluster4
407,280.711,258.076,2,cluster4
408,281.716,246.601,2,cluster4
409,281.94,236.785,2,cluster4
410,282.711,249.692,2,cluster4
411,283.115,263.584,2,cluster4
412,283.983,257.348,2,cluster4
413,284.543,263.316,2,cluster4
414,287.046,262.162,2,cluster4
415,288.927,260.541,2,cluster4
416,289.315,255.218,2,cluster4
417,289.943,250.361,2,cluster4
418,291.608,267.339,2,cluster4
419,291.955,267.281,2,cluster4
420,292.398,252.325,2,cluster4
421,293.017,255.158,2,cluster4
422,295.004,260.365,2,cluster4
423,296.183,237.238,2,cluster4
424,297.623,252.161,2,cluster4
425,298.424,264.142,2,cluster4
426,299.807,263.045,2,cluster4
427,300.557,269.025,2,cluster4
428,304.204,271.556,2,cluster4
429,307.425,274.677,2,cluster4
430,308.161,273.136,2,cluster4
431,308.928,247.987,2,cluster4
432,310.057,251.42,2,cluster4
433,313.136,266.045,2,cluster4
434,313.672,247.666,2,cluster4
435,314.848,254.205,2,cluster4
436,317.095,273.844,2,cluster4
437,318.449,266.77,2,cluster4
438,318.858,277.693,2,cluster4
439,320.149,245.128,2,cluster4
440,320.88,254.928,2,cluster4
441,321.587,243.537,2,cluster4
442,323.345,257.64,2,cluster4
443,324.518,243.11,2,cluster4
444,325.259,254.743,2,cluster4
445,326.596,254.017,2,cluster4
446,327.833,249.55,2,cluster4
447,328.233,263.65,2,cluster4
448,329.356,264.379,2,cluster4
449,331.098,264.241,2,cluster4
450,333.338,276.376,2,cluster4
451,334.236,263.988,2,cluster4
452,335.585,269.761,2,cluster4
453,336.776,245.851,2,cluster4
454,337.25,243.518,2,cluster4
455,338.656,262.053,2,cluster4
456,339.143,237.759,2,cluster4
457,340.372,273.623,2,cluster4
458,341.517,282.249,2,cluster4
459,342.655,280.406,2,cluster4
460,343.522,269.317,2,cluster4
461,344.314,252.462,2,cluster4
462,344.967,243.995,2,cluster4
463,347.038,255.476,2,cluster4
464,347.652,285.927,2,cluster4
465,348.419,273.871,2,cluster4
466,348.735,244.499,2,cluster4
467,349.448,246.822,2,cluster4
468,349.757,286.903,2,cluster4
469,349.886,271.844,2,cluster4
470,351.663,274.561,2,cluster4
471,352.21,235.047,2,cluster4
472,352.711,252.672,2,cluster4
473,354.288,235.336,2,cluster4
474,354.766,253.537,2,cluster4
475,356.356,250.344,2,cluster4
476,356.632,270.577,2,cluster4
477,357.71,243.756,2,cluster4
478,358.554,270.689,2,cluster4
479,358.852,276.35,2,cluster4
480,360.086,259.86,2,cluster4
481,360.788,271.746,2,cluster4
482,362.224,276.787,2,cluster4
483,362.946,254.075,2,cluster4
484,363.594,272.175,2,cluster4
485,363.749,296.325,2,cluster4
486,364.26,266.056,2,cluster4
487,365.446,264.773,2,cluster4
488,365.78,289.731,2,cluster4
489,367.157,276.706,2,cluster4
490,367.698,278.978,2,cluster4
491,368.132,265.631,2,cluster4
492,368.667,235.202,2,cluster4
493,369.802,277.56,2,cluster4
494,370.829,225.197,2,cluster4
495,372.405,228.113,2,cluster4
496,373.835,270.518,2,cluster4
497,374.024,269.535,2,cluster4
498,374.702,226.626,2,cluster4
499,375.341,276.45,2,cluster4
500,376.196,241.588,2,cluster4
501,376.595,237.067,2,cluster4
502,377.026,266.93,2,cluster4
503,377.092,248.07,2,cluster4
504,377.393,220.006,2,cluster4
505,377.831,248.255,2,cluster4
506,378.371,274.317,2,cluster4
507,378.5,240.02,2,cluster4
508,379.145,225.451,2,cluster4
509,379.454,269.72,2,cluster4
510,379.639,234.918,2,cluster4
511,381.229,286.043,2,cluster4
512,381.421,267.62,2,cluster4
513,381.813,230.739,2,cluster4
514,382.338,262.01,2,cluster4
515,382.845,234.506,2,cluster4
516,383.098,241.973,2,cluster4
517,383.557,292.124,2,cluster4
518,384.073,230.751,2,cluster4
519,384.686,262.532,2,cluster4
520,385.559,291.054,2,cluster4
521,386.265,300.405,2,cluster4
522,386.731,275.618,2,cluster4
523,387.253,226.958,2,cluster4
524,387.448,226.627,2,cluster4
525,387.822,289.82,2,cluster4
526,388.107,260.38,2,cluster4
527,388.736,233.743,2,cluster4
528,388.97,291.242,2,cluster4
529,389.399,243.022,2,cluster4
530,390.715,226.094,2,cluster4
531,392.665,264.428,2,cluster4
532,393.032,288.458,2,cluster4
533,394.425,298.366,2,cluster4
534,394.91,252.065,2,cluster4
535,395.928,301.856,2,cluster4
536,396.136,276.809,2,cluster4
537,396.765,263.377,2,cluster4
538,397.189,235.132,2,cluster4
539,397.463,229.396,2,cluster4
540,397.862,259.51,2,cluster4
541,398.33,243.374,2,cluster4
542,398.63,235.251,2,cluster4
543,399.487,228.996,2,cluster4
544,400.102,245.483,2,cluster4
545,400.213,246.726,2,cluster4
546,400.6,276.768,2,cluster4
547,401.105,273.561,2,cluster4
548,401.597,254.28,2,cluster4
549,402.147,286.638,2,cluster4
550,402.891,297.832,2,cluster4
551,404.28,297.829,2,cluster4
552,404.364,291.647,2,cluster4
553,404.952,289.539,2,cluster4
554,405.164,293.44,2,cluster4
555,405.487,295.939,2,cluster4
556,405.846,282.933,2,cluster4
557,406.319,231.514,2,cluster4
558,406.818,266.06,2,cluster4
559,408.352,273.228,2,cluster4
560,409.058,243.858,2,cluster4
561,409.322,255.152,2,cluster4
562,409.623,289.933,2,cluster4
563,409.888,269.07,2,cluster4
564,410.876,287.778,2,cluster4
565,411.207,262.768,2,cluster4
566,411.46,247.458,2,cluster4
567,412.459,236.835,2,cluster4
568,413.229,275.968,2,cluster4
569,413.701,227.171,2,cluster4
570,414.651,238.275,2,cluster4
571,414.779,235.505,2,cluster4
572,415.267,261.513,2,cluster4
573,416.077,257.898,2,cluster4
574,416.318,282.917,2,cluster4
575,416.889,291.509,2,cluster4
576,417.761,268.451,2,cluster4
577,418.445,259.976,2,cluster4
578,419.217,268.525,2,cluster4
579,420.531,291.445,2,cluster4
580,420.635,232.499,2,cluster4
581,420.819,276.785,2,cluster4
582,421.354,250.434,2,cluster4
583,421.532,231.376,2,cluster4
584,421.91,293.441,2,cluster4
585,422.133,292.868,2,cluster4
586,423.156,234.235,2,cluster4
587,424.009,252.468,2,cluster4
588,424.881,241.292,2,cluster4
589,425.677,279.174,2,cluster4
590,426.503,250.416,2,cluster4
591,426.682,246.638,2,cluster4
592,427.451,233.268,2,cluster4
593,429.061,266.166,2,cluster4
594,429.557,277.432,2,cluster4
595,430.013,234.895,2,cluster4
596,430.835,247.6,2,cluster4
597,432.029,267.743,2,cluster4
598,432.396,237.085,2,cluster4
599,433.005,254.057,2,cluster4
600,433.448,245.556,2,cluster4
601,434.83,289.099,2,cluster4
602,435.734,248.008,2,cluster4
603,436.958,238.21,2,cluster4
604,437.521,286.103,2,cluster4
605,437.817,256.183,2,cluster4
606,438.218,231.246,2,cluster4
607,438.6,236.97,2,cluster4
608,439.448,240.77,2,cluster4
609,440.103,251.244,2,cluster4
610,440.686,266.626,2,cluster4
611,441.449,238.77,2,cluster4
612,441.867,233.186,2,cluster4
613,442.566,237.036,2,cluster4
614,443.651,239.602,2,cluster4
615,444.093,253.062,2,cluster4
616,445.336,273.26,2,cluster4
617,446.434,246.71,2,cluster4
618,446.862,244.73,2,cluster4
619,447.864,238.768,2,cluster4
620,449.021,240.921,2,cluster4
621,449.613,253.74,2,cluster4
622,451.683,265.286,2,cluster4
623,452.213,242.38,2,cluster4
624,453.724,258.44,2,cluster4
625,454.921,263.766,2,cluster4
626,455.359,280.24,2,cluster4
627,456.722,272.881,2,cluster4
628,457.717,265.404,2,cluster4
629,458.617,240.381,2,cluster4
630,459.11,263.377,2,cluster4
631,459.967,275.32,2,cluster4
632,460.796,266.038,2,cluster4
633,461.696,277.385,2,cluster4
634,463.472,260.844,2,cluster4
635,464.852,273.706,2,cluster4
636,466.705,261.183,2,cluster4
637,20.026,88.356,3,cluster2
638,20.925,67.44,3,cluster2
639,22.487,51.786,3,cluster2
640,22.816,79.416,3,cluster2
641,23.583,45.891,3,cluster2
642,24.731,71.788,3,cluster2
643,25.363,83.041,3,cluster2
644,25.619,35.879,3,cluster2
645,25.866,104.418,3,cluster2
646,26.267,98.659,3,cluster2
647,27.143,86.854,3,cluster2
648,27.569,63.439,3,cluster2
649,28.136,52.202,3,cluster2
650,28.708,70.1,3,cluster2
651,30.002,86.534,3,cluster2
652,30.529,50.283,3,cluster2
653,31.439,59.06,3,cluster2
654,31.778,31.64,3,cluster2
655,32.362,60.976,3,cluster2
656,33.102,42.576,3,cluster2
657,33.816,63.395,3,cluster2
658,34.528,42.59,3,cluster2
659,35.083,82.876,3,cluster2
660,35.587,35.094,3,cluster2
661,35.876,84.028,3,cluster2
662,36.332,44.874,3,cluster2
663,38.016,63.307,3,cluster2
664,38.977,101.356,3,cluster2
665,39.977,35.651,3,cluster2
666,40.739,101.634,3,cluster2
667,41.284,99.463,3,cluster2
668,41.571,70.988,3,cluster2
669,42.029,96.977,3,cluster2
670,42.703,42.245,3,cluster2
671,43.616,99.011,3,cluster2
672,44.274,97.434,3,cluster2
673,44.549,96.843,3,cluster2
674,45.227,64.844,3,cluster2
675,46.879,105.358,3,cluster2
676,47.229,41.339,3,cluster2
677,47.812,73.61,3,cluster2
678,48.172,37.776,3,cluster2
679,48.445,101.597,3,cluster2
680,48.882,96.462,3,cluster2
681,49.213,37.181,3,cluster2
682,50.837,68.983,3,cluster2
683,52.087,39.576,3,cluster2
684,52.683,97.493,3,cluster2
685,52.851,70.693,3,cluster2
686,53.586,44.759,3,cluster2
687,53.813,74.661,3,cluster2
688,54.275,39.558,3,cluster2
689,54.604,68.79,3,cluster2
690,55.701,41.258,3,cluster2
691,56.304,103.478,3,cluster2
692,56.559,48.611,3,cluster2
693,57.978,73.95,3,cluster2
694,58.987,83.099,3,cluster2
695,59.405,72.465,3,cluster2
696,60.345,84.563,3,cluster2
697,60.88,56.087,3,cluster2
698,61.323,91.239,3,cluster2
699,61.968,78.091,3,cluster2
700,62.304,41.51,3,cluster2
701,63.227,76.938,3,cluster2
702,64.075,76.453,3,cluster2
703,65.2,45.738,3,cluster2
704,65.767,74.248,3,cluster2
705,66.027,59.45,3,cluster2
706,66.414,49.308,3,cluster2
707,67.068,54.264,3,cluster2
708,67.789,33.516,3,cluster2
709,68.005,90.836,3,cluster2
710,68.44,84.09,3,cluster2
711,69.243,73.506,3,cluster2
712,69.941,67.454,3,cluster2
713,70.515,76.681,3,cluster2
714,70.619,68.005,3,cluster2
715,71.443,62.345,3,cluster2
716,72.225,73.661,3,cluster2
717,72.823,55.906,3,cluster2
718,73.081,57.281,3,cluster2
719,74.597,88.148,3,cluster2
720,74.891,92.013,3,cluster2
721,75.352,42.168,3,cluster2
722,76.402,46.526,3,cluster2
723,76.924,97.468,3,cluster2
724,77.354,42.696,3,cluster2
725,77.609,49.547,3,cluster2
726,77.998,51.452,3,cluster2
727,78.273,67.935,3,cluster2
728,78.672,81.344,3,cluster2
729,79.841,37.471,3,cluster2
730,80.276,99.507,3,cluster2
731,80.807,66.626,3,cluster2
732,81.264,37.297,3,cluster2
733,82.573,43.318,3,cluster2
734,82.845,62.738,3,cluster2
735,84.769,33.369,3,cluster2
736,84.95,46.428,3,cluster2
737,85.31,69.209,3,cluster2
738,85.528,43.019,3,cluster2
739,86.174,87.7,3,cluster2
740,87.064,45.155,3,cluster2
741,87.264,41.933,3,cluster2
742,87.621,79.009,3,cluster2
743,88.04,42.651,3,cluster2
744,88.358,83.503,3,cluster2
745,88.661,50.492,3,cluster2
746,89.681,62.352,3,cluster2
747,89.819,35.2,3,cluster2
748,90.149,80.837,3,cluster2
749,90.417,86.464,3,cluster2
750,91.178,93.144,3,cluster2
751,92.234,58.324,3,cluster2
752,93.43,69.424,3,cluster2
753,93.843,43.443,3,cluster2
754,94.526,86.049,3,cluster2
755,95.324,53.04,3,cluster2
756,95.511,60.079,3,cluster2
757,96.416,65.625,3,cluster2
758,97.569,67.92,3,cluster2
759,98.308,100.305,3,cluster2
760,99.007,36.435,3,cluster2
761,99.209,63.846,3,cluster2
762,99.495,57.019,3,cluster2
763,100.154,79.893,3,cluster2
764,101.63,77.737,3,cluster2
765,102.822,77.927,3,cluster2
766,103.06,40.985,3,cluster2
767,103.86,81.621,3,cluster2
768,104.769,81.393,3,cluster2
769,106.071,100.828,3,cluster2
770,106.567,76.381,3,cluster2
771,107.638,40.477,3,cluster2
772,108.238,49.247,3,cluster2
773,108.426,78.291,3,cluster2
774,109.009,50.542,3,cluster2
775,109.879,93.396,3,cluster2
776,111.307,36.873,3,cluster2
777,111.949,77.803,3,cluster2
778,112.188,68.448,3,cluster2
779,112.91,82.451,3,cluster2
780,113.441,72.41,3,cluster2
781,113.821,42.075,3,cluster2
782,114.246,94.967,3,cluster2
783,114.784,36.421,3,cluster2
784,115.213,73.147,3,cluster2
785,115.343,41.516,3,cluster2
786,115.8,47.128,3,cluster2
787,116.291,63.513,3,cluster2
788,116.894,38.559,3,cluster2
789,117.562,65.505,3,cluster2
790,117.75,43.494,3,cluster2
791,118.667,84.298,3,cluster2
792,119.687,80.956,3,cluster2
793,120.488,97.901,3,cluster2
794,121.28,94.189,3,cluster2
795,122.338,60.263,3,cluster2
796,123.958,88.871,3,cluster2
797,124.635,97.045,3,cluster2
798,124.823,56.081,3,cluster2
799,126.011,49.435,3,cluster2
800,126.736,61.51,3,cluster2
801,126.961,78.826,3,cluster2
802,127.27,76.188,3,cluster2
803,128.959,67.193,3,cluster2
804,129.687,75.267,3,cluster2
805,131.082,49.239,3,cluster2
806,131.513,92.707,3,cluster2
807,131.874,48.172,3,cluster2
808,132.207,70.671,3,cluster2
809,132.473,78.561,3,cluster2
